customer_id,age,region,plan,monthly_fee,months_active,usage_hours,support_tickets,failed_payments,churn
CUST_000075,43,Central,Premium,112.3,28,24.64,1,0,0
CUST_000076,50,East,Basic,24.03,29,16.8,0,0,0
CUST_000077,35,South,Standard,67.85,62,54.62,1,0,0
CUST_000078,43,West,Standard,66.86,18,40.56,2,0,1
CUST_000079,49,East,Standard,57.84,30,14.52,2,0,1
CUST_000080,37,South,Standard,57.92,9,66.21,1,0,0
CUST_000081,47,South,Standard,55.29,12,28.02,0,0,1
CUST_000082,32,South,Basic,25.35,22,26.81,0,0,0
CUST_000083,36,East,Standard,59.9,10,71.55,0,0,0
CUST_000084,36,South,Standard,60.0,35,63.66,0,0,0
CUST_000085,25,North,Standard,51.89,31,60.99,1,0,0
CUST_000086,47,North,Standard,71.37,13,19.82,4,1,1
CUST_000087,35,Central,Basic,28.6,19,30.8,0,0,0
CUST_000088,41,North,Basic,30.23,48,34.82,0,1,0
CUST_000089,47,North,Basic,26.77,26,16.06,1,0,0
CUST_000090,47,East,Basic,28.56,72,13.11,3,1,0
CUST_000091,50,South,Basic,28.11,19,24.24,1,0,0
CUST_000092,40,Central,Basic,29.89,21,40.91,0,0,0
CUST_000093,35,Central,Standard,59.83,22,6.88,3,0,1
CUST_000094,40,East,Standard,63.92,5,29.76,2,0,0
CUST_000095,19,East,Standard,61.04,20,15.25,1,0,0
CUST_000096,22,East,Standard,63.42,19,49.73,1,1,0
CUST_000097,24,North,Basic,29.85,37,32.27,1,0,0
CUST_000098,28,South,Basic,31.06,49,13.87,1,0,0
CUST_000099,46,North,Standard,58.69,18,50.14,0,0,0
CUST_000100,29,North,Standard,64.92,3,34.04,1,0,0
CUST_000101,36,East,Standard,61.51,25,27.53,2,0,1
CUST_000102,58,North,Standard,59.11,10,83.02,2,3,0
CUST_000103,36,North,Standard,58.96,27,29.11,1,0,0
CUST_000104,51,East,Standard,59.35,26,23.27,1,2,1
CUST_000105,29,East,Standard,60.05,12,41.21,0,0,0
CUST_000106,38,North,Standard,59.62,25,70.52,1,1,0
CUST_000107,29,North,Basic,27.11,6,4.18,0,1,0
CUST_000108,37,South,Basic,33.72,28,48.57,0,0,0
CUST_000109,52,South,Basic,34.04,39,37.98,1,0,0
CUST_000110,19,West,Standard,68.82,32,64.55,1,0,0
CUST_000111,47,Central,Standard,56.88,15,57.13,3,1,0
CUST_000112,44,East,Basic,33.23,37,34.15,0,0,0
CUST_000113,33,East,Basic,20.35,34,37.48,1,0,0
CUST_000114,22,West,Standard,64.05,35,33.59,0,0,0
CUST_000115,42,West,Basic,22.62,53,56.66,1,0,0
CUST_000116,34,South,Standard,54.98,30,21.19,0,0,0
CUST_000117,44,North,Basic,31.56,9,26.64,0,0,0
CUST_000118,41,East,Basic,26.79,11,39.49,0,0,0
CUST_000119,62,East,Basic,26.11,30,43.97,1,1,0
CUST_000120,38,North,Basic,27.48,4,41.05,0,0,0
CUST_000121,28,South,Basic,33.55,20,35.25,0,0,0
CUST_000122,43,South,Basic,25.24,17,43.16,0,0,0
CUST_000123,44,South,Basic,29.63,34,37.4,2,1,0
CUST_000124,59,East,Basic,28.01,8,60.95,1,1,0
CUST_000125,52,West,Standard,64.0,34,20.78,0,0,1
CUST_000126,46,East,Basic,34.14,19,43.37,2,0,0
CUST_000127,60,South,Basic,20.72,28,26.69,3,0,0
CUST_000128,26,North,Basic,35.13,8,27.8,1,0,0
CUST_000129,33,West,Premium,96.85,35,90.09,0,2,0
CUST_000130,29,East,Standard,61.08,44,76.32,2,1,0
CUST_000131,36,North,Premium,95.21,72,77.25,0,3,0
CUST_000132,23,South,Premium,101.76,27,28.79,0,0,0
CUST_000133,49,West,Basic,42.66,43,20.59,1,0,0
CUST_000134,38,West,Standard,60.54,10,13.56,1,0,0
CUST_000135,22,Central,Basic,27.6,52,59.25,1,0,0
CUST_000136,28,East,Premium,98.74,6,18.57,1,1,1
CUST_000137,45,East,Basic,22.55,65,24.19,1,0,0
CUST_000138,52,East,Basic,37.14,25,21.79,2,0,0
CUST_000139,67,South,Premium,101.46,7,24.36,0,0,0
CUST_000140,79,West,Premium,94.66,17,11.51,2,0,0
CUST_000141,46,East,Premium,94.82,42,30.56,0,2,1
CUST_000142,28,North,Basic,29.98,20,30.93,2,0,0
CUST_000143,18,Central,Basic,34.56,20,14.34,1,0,0
CUST_000144,44,South,Basic,24.15,40,18.88,0,0,0
CUST_000145,30,North,Basic,35.47,21,54.31,0,0,0
CUST_000146,36,South,Standard,59.44,49,19.55,1,0,0
CUST_000147,33,Central,Basic,25.25,15,25.97,0,0,0
CUST_000148,39,Central,Standard,57.56,5,29.81,0,0,0
CUST_000149,55,East,Basic,38.64,22,18.78,0,0,0
CUST_000150,43,Central,Standard,52.96,24,54.35,1,2,0
CUST_000151,39,Central,Premium,96.24,14,71.52,1,0,0
CUST_000152,28,West,Standard,64.66,28,14.65,3,0,1
CUST_000153,19,Central,Basic,30.98,6,18.85,1,1,0
CUST_000154,35,East,Basic,25.94,28,18.32,1,0,1
CUST_000155,40,West,Basic,34.72,9,22.05,3,0,0
CUST_000156,64,East,Standard,64.96,7,30.14,1,1,0
CUST_000157,43,West,Standard,61.56,24,11.58,1,0,1
CUST_000158,54,South,Basic,26.84,6,25.55,0,0,0
CUST_000159,35,West,Premium,97.61,3,7.49,0,0,1
CUST_000160,26,Central,Standard,61.32,31,76.65,1,0,0
CUST_000161,28,South,Premium,93.34,10,67.25,0,0,0
CUST_000162,32,Central,Basic,36.54,33,8.28,3,0,0
CUST_000163,69,East,Premium,108.4,18,41.23,1,0,0
CUST_000164,30,South,Basic,28.72,24,11.35,0,1,0
CUST_000165,52,North,Basic,31.68,43,43.34,0,0,0
CUST_000166,29,West,Premium,105.83,30,30.18,1,0,1
CUST_000167,53,East,Premium,109.68,34,66.28,0,1,0
CUST_000168,46,South,Standard,67.68,33,52.04,2,0,0
CUST_000169,39,East,Basic,21.22,13,22.51,2,0,0
CUST_000170,40,South,Basic,28.32,29,27.12,0,0,1
CUST_000171,32,East,Standard,62.4,11,19.29,1,1,1
CUST_000172,47,Central,Premium,97.43,29,14.85,1,0,1
CUST_000173,35,West,Basic,38.81,18,27.08,0,0,0
CUST_000174,25,West,Basic,38.05,20,39.38,1,0,0
CUST_000175,24,East,Standard,55.82,60,34.35,1,1,0
CUST_000176,43,Central,Standard,59.09,32,30.4,0,1,0
CUST_000177,62,South,Basic,26.15,14,35.84,1,0,1
CUST_000178,43,South,Standard,58.92,5,27.04,1,1,1
CUST_000179,39,North,Premium,98.77,24,42.17,0,0,0
CUST_000180,45,East,Basic,34.67,6,21.0,2,1,0
CUST_000181,58,West,Standard,55.46,65,31.89,0,1,0
CUST_000182,44,West,Standard,46.82,21,15.91,1,0,0
CUST_000183,36,South,Standard,51.88,40,22.69,1,1,0
CUST_000184,55,North,Premium,94.76,7,85.83,0,0,0
CUST_000185,47,West,Standard,56.62,31,15.37,0,1,0
CUST_000186,61,Central,Standard,60.84,46,78.25,0,1,0
CUST_000187,43,South,Basic,24.5,33,30.74,2,0,0
CUST_000188,25,South,Standard,53.84,38,13.01,0,0,0
CUST_000189,23,South,Basic,25.25,29,43.97,0,0,0
CUST_000190,62,East,Basic,24.32,16,12.04,2,0,0
CUST_000191,63,South,Standard,57.13,11,46.58,1,0,1
CUST_000192,39,South,Standard,56.91,13,39.1,2,1,1
CUST_000193,36,West,Premium,103.35,66,39.74,0,0,0
CUST_000194,60,South,Standard,54.95,26,38.1,1,1,0
CUST_000195,27,East,Premium,98.11,48,45.62,0,1,0
CUST_000196,29,North,Basic,27.17,15,24.12,1,2,1
CUST_000197,49,Central,Standard,63.94,37,81.34,1,0,0
CUST_000198,36,East,Premium,99.13,10,73.93,0,0,0
CUST_000199,41,South,Basic,35.15,19,42.31,2,0,0
CUST_000200,39,North,Standard,54.14,16,26.08,0,0,1
CUST_000201,45,West,Standard,59.65,62,25.88,1,0,0
CUST_000202,59,Central,Basic,27.02,12,31.98,0,0,0
CUST_000203,42,North,Standard,53.77,34,26.02,0,1,1
CUST_000204,49,North,Basic,29.56,30,25.6,1,0,0
CUST_000205,18,North,Basic,38.56,8,41.09,1,1,0
CUST_000206,40,East,Basic,25.64,49,56.92,0,0,0
CUST_000207,30,Central,Basic,29.26,52,34.2,1,0,0
CUST_000208,25,East,Basic,23.34,26,31.86,1,2,0
CUST_000209,30,South,Premium,92.6,23,14.16,1,1,0
CUST_000210,37,West,Basic,25.96,5,39.52,0,0,0
CUST_000211,53,West,Premium,97.65,7,58.36,2,0,0
CUST_000212,24,South,Standard,57.87,18,57.9,2,1,1
CUST_000213,41,North,Basic,28.77,11,91.58,1,0,0
CUST_000214,35,South,Basic,21.66,40,22.15,0,0,0
CUST_000215,37,West,Premium,96.77,7,80.87,0,0,0
CUST_000216,54,West,Standard,62.41,6,64.68,0,1,0
CUST_000217,48,West,Premium,93.11,32,43.25,1,0,0
CUST_000218,58,West,Basic,28.12,28,13.29,1,0,0
CUST_000219,39,South,Standard,61.36,25,63.12,1,0,0
CUST_000220,32,South,Standard,55.99,37,72.48,2,0,0
CUST_000221,38,North,Premium,101.61,14,18.65,1,0,1
CUST_000222,44,Central,Basic,22.29,16,39.21,1,1,0
CUST_000223,43,East,Premium,104.34,28,41.51,1,0,0
CUST_000224,27,South,Basic,31.73,26,30.01,1,0,0
CUST_000225,42,North,Premium,100.18,12,12.86,0,0,1
CUST_000226,44,West,Standard,65.52,44,62.27,0,0,0
CUST_000227,74,West,Standard,58.25,8,25.03,1,0,0
CUST_000228,65,West,Basic,26.81,17,73.84,1,1,0
CUST_000229,30,South,Standard,66.76,9,28.29,1,0,0
CUST_000230,37,Central,Basic,39.1,72,22.2,0,0,0
CUST_000231,22,West,Standard,56.43,23,26.93,0,0,0
CUST_000232,33,West,Standard,59.33,10,29.28,0,0,0
CUST_000233,45,West,Standard,65.13,16,29.69,1,0,0
CUST_000234,57,Central,Standard,59.51,28,62.4,0,0,0
CUST_000235,32,Central,Standard,62.87,40,30.72,0,0,0
CUST_000236,32,East,Standard,63.8,11,66.0,1,0,1
CUST_000237,18,East,Standard,57.09,54,61.59,1,0,0
CUST_000238,39,South,Standard,62.0,23,57.03,2,0,0
CUST_000239,27,West,Standard,59.87,32,51.81,2,1,0
CUST_000240,34,West,Standard,53.82,15,17.71,1,0,0
CUST_000241,30,North,Standard,54.95,29,53.71,2,0,0
CUST_000242,40,North,Basic,26.64,14,51.49,0,0,0
CUST_000243,18,Central,Standard,64.54,17,69.16,1,1,0
CUST_000244,22,Central,Basic,34.71,41,11.97,1,0,0
CUST_000245,69,Central,Basic,33.65,31,51.61,2,0,1
CUST_000246,24,East,Standard,62.1,18,12.76,2,0,0
CUST_000247,27,West,Basic,31.96,39,41.54,0,0,0
CUST_000248,65,West,Standard,61.29,27,43.94,0,0,0
CUST_000249,79,South,Premium,101.94,4,21.31,0,0,0
CUST_000250,26,North,Basic,32.28,20,31.22,1,0,1
CUST_000251,36,Central,Basic,22.88,40,28.46,1,0,0
CUST_000252,45,North,Basic,25.95,65,39.11,0,0,0
CUST_000253,63,East,Basic,24.76,9,28.88,1,0,0
CUST_000254,28,West,Standard,65.44,39,42.12,1,0,0
CUST_000255,38,West,Standard,68.17,23,29.64,1,0,0
CUST_000256,51,South,Standard,49.05,8,101.24,1,0,0
CUST_000257,47,West,Basic,37.72,9,34.61,0,0,0
CUST_000258,36,South,Standard,60.33,10,25.12,1,0,0
CUST_000259,39,West,Basic,34.96,6,20.19,1,1,0
CUST_000260,23,South,Standard,62.43,7,49.69,0,0,0
CUST_000261,38,West,Standard,67.1,23,131.65,0,0,0
CUST_000262,38,West,Basic,30.95,4,53.03,0,0,0
CUST_000263,44,South,Standard,53.08,11,32.98,0,0,0
CUST_000264,34,South,Standard,59.37,17,11.51,0,0,0
CUST_000265,47,West,Basic,32.48,11,17.17,0,0,0
CUST_000266,54,North,Standard,58.82,7,22.53,0,0,0
CUST_000267,43,South,Standard,63.19,22,11.84,0,0,0
CUST_000268,46,East,Basic,29.57,11,25.59,2,0,0
CUST_000269,42,Central,Basic,26.92,12,40.21,0,1,1
CUST_000270,41,East,Standard,54.47,20,27.8,0,1,0
CUST_000271,32,East,Premium,97.94,34,64.59,2,0,0
CUST_000272,45,Central,Standard,60.92,13,24.44,0,0,0
CUST_000273,40,East,Standard,50.1,14,14.34,0,1,0
CUST_000274,68,East,Standard,56.0,8,21.24,0,0,0
CUST_000275,61,East,Basic,19.92,40,19.38,0,0,0
CUST_000276,46,South,Basic,26.81,22,11.97,1,0,0
CUST_000277,31,South,Basic,35.89,38,17.16,0,0,0
CUST_000278,27,West,Premium,93.97,42,12.46,2,0,0
CUST_000279,56,North,Standard,63.42,13,9.05,1,1,1
CUST_000280,44,West,Premium,114.14,36,32.48,0,0,1
CUST_000281,47,South,Basic,37.17,24,21.65,0,0,0
CUST_000282,18,East,Standard,60.57,14,90.39,0,0,0
CUST_000283,53,North,Standard,64.19,12,18.24,0,0,1
CUST_000284,47,East,Basic,23.05,22,23.21,2,0,1
CUST_000285,27,West,Basic,22.03,26,33.19,0,1,0
CUST_000286,35,South,Standard,60.04,3,54.26,0,2,1
CUST_000287,44,North,Standard,61.89,16,67.62,0,0,0
CUST_000288,42,South,Standard,65.37,25,38.68,1,2,0
CUST_000289,37,West,Basic,27.06,29,27.76,1,1,0
CUST_000290,40,South,Standard,60.87,20,22.33,1,0,0
CUST_000291,38,West,Basic,30.7,29,31.19,0,1,0
CUST_000292,43,South,Basic,29.24,12,54.74,0,0,0
CUST_000293,60,South,Standard,59.54,28,35.38,1,0,0
CUST_000294,18,West,Basic,25.63,26,37.33,1,0,0
CUST_000295,38,East,Premium,101.3,42,62.73,0,1,0
CUST_000296,43,North,Standard,60.88,56,41.37,1,0,0
CUST_000297,45,Central,Basic,27.7,43,39.17,2,1,0
CUST_000298,36,North,Basic,33.23,18,34.24,1,2,0
CUST_000299,18,South,Standard,65.04,8,16.57,2,0,1
CUST_000300,45,East,Basic,33.29,11,29.63,1,0,0
CUST_000301,63,East,Basic,24.69,55,33.47,0,0,0
CUST_000302,21,West,Basic,30.4,23,68.28,0,0,0
CUST_000303,52,North,Basic,25.34,26,20.19,0,0,0
CUST_000304,37,Central,Standard,60.38,38,37.78,0,1,0
CUST_000305,40,West,Standard,55.36,22,27.68,1,0,0
CUST_000306,27,Central,Basic,36.29,47,65.31,1,0,0
CUST_000307,37,West,Standard,63.82,7,58.5,2,0,0
CUST_000308,58,Central,Basic,35.66,30,32.32,1,0,1
CUST_000309,49,East,Standard,65.16,66,6.42,2,0,0
CUST_000310,64,South,Basic,28.55,49,53.69,0,1,0
CUST_000311,56,East,Standard,57.77,51,14.34,3,1,0
CUST_000312,47,West,Basic,38.61,7,7.63,2,1,0
CUST_000313,64,East,Standard,59.07,25,55.42,0,0,0
CUST_000314,47,West,Basic,23.13,20,37.59,0,0,0
CUST_000315,52,North,Premium,104.94,11,47.03,0,0,1
CUST_000316,37,West,Basic,30.62,26,20.7,3,1,0
CUST_000317,42,South,Premium,107.43,8,12.36,0,0,0
CUST_000318,32,Central,Premium,101.11,29,7.76,3,1,1
CUST_000319,54,North,Basic,29.8,10,34.08,1,1,0
CUST_000320,26,North,Basic,37.53,28,14.04,1,0,0
CUST_000321,51,West,Basic,22.21,12,37.83,1,0,0
CUST_000322,39,West,Premium,96.97,17,18.54,0,1,0
CUST_000323,56,West,Standard,55.46,16,36.69,2,0,0
CUST_000324,51,Central,Standard,48.92,20,17.94,2,0,0
CUST_000325,65,South,Basic,34.27,21,44.88,1,0,0
CUST_000326,51,West,Premium,97.11,16,46.49,1,0,0
CUST_000327,21,South,Basic,34.43,10,29.08,2,0,1
CUST_000328,40,East,Basic,31.85,44,17.79,1,0,0
CUST_000329,26,East,Basic,32.94,22,12.09,0,0,0
CUST_000330,34,North,Standard,57.62,26,42.09,4,0,0
CUST_000331,61,East,Premium,96.08,16,26.56,2,0,1
CUST_000332,49,West,Standard,60.35,72,34.75,0,0,0
CUST_000333,32,South,Basic,34.5,23,28.96,0,1,1
CUST_000334,28,Central,Basic,29.65,45,28.05,1,0,0
CUST_000335,41,East,Standard,56.39,17,60.38,1,0,0
CUST_000336,25,South,Standard,53.9,31,32.74,1,2,1
CUST_000337,32,West,Basic,30.92,19,15.73,2,0,0
CUST_000338,45,South,Basic,27.13,41,41.11,1,0,0
CUST_000339,56,North,Standard,59.54,15,45.47,0,0,0
CUST_000340,49,West,Premium,98.71,9,23.79,1,0,1
CUST_000341,18,North,Standard,57.68,26,20.38,0,0,0
CUST_000342,45,North,Basic,31.37,42,35.23,1,0,0
CUST_000343,42,West,Standard,62.67,20,15.79,2,0,1
CUST_000344,46,North,Basic,39.73,14,33.97,0,0,0
CUST_000345,62,West,Premium,103.69,7,80.17,0,0,0
CUST_000346,18,West,Basic,37.87,43,40.83,1,0,0
CUST_000347,33,North,Basic,25.81,11,60.45,1,1,0
CUST_000348,49,East,Standard,51.9,16,33.68,0,0,0
CUST_000349,20,North,Basic,29.83,16,28.94,1,1,1
CUST_000350,60,West,Basic,34.19,21,31.59,1,0,1
CUST_000351,46,North,Standard,63.41,31,43.29,0,0,0
CUST_000352,52,Central,Standard,65.96,71,41.91,2,0,0
CUST_000353,34,South,Premium,87.22,27,23.89,1,0,0
CUST_000354,52,West,Basic,36.16,7,26.23,1,0,0
CUST_000355,55,North,Basic,31.58,20,51.23,0,0,0
CUST_000356,44,South,Standard,52.18,27,18.36,0,1,0
CUST_000357,44,East,Basic,33.52,47,5.18,1,0,0
CUST_000358,45,East,Basic,30.75,44,32.01,1,0,0
CUST_000359,30,Central,Premium,101.81,19,49.18,4,0,0
CUST_000360,39,North,Premium,104.9,23,49.77,1,1,0
CUST_000361,39,North,Basic,32.05,25,12.23,3,0,0
CUST_000362,46,South,Standard,52.54,23,17.94,1,1,0
CUST_000363,54,South,Standard,59.18,20,58.53,0,1,0
CUST_000364,27,Central,Basic,21.81,57,50.37,0,0,0
CUST_000365,39,Central,Standard,63.15,13,32.37,1,0,0
CUST_000366,60,Central,Basic,36.89,39,34.37,4,0,0
CUST_000367,31,North,Basic,23.69,34,16.98,1,0,0
CUST_000368,30,East,Premium,96.54,19,16.99,0,0,0
CUST_000369,44,West,Standard,55.49,12,9.82,0,0,0
CUST_000370,52,South,Basic,27.63,22,13.33,0,1,1
CUST_000371,41,West,Standard,61.96,32,39.77,0,0,1
CUST_000372,58,South,Premium,97.68,1,32.86,0,1,0
CUST_000373,52,South,Basic,33.16,8,28.67,1,0,0
CUST_000374,52,Central,Premium,105.23,2,38.05,5,0,1
CUST_000375,48,South,Premium,105.41,26,20.35,1,0,0
CUST_000376,71,Central,Basic,24.31,25,35.46,0,0,0
CUST_000377,38,South,Standard,66.83,9,61.12,0,0,0
CUST_000378,18,North,Standard,67.23,11,16.01,2,0,0
CUST_000379,62,South,Standard,67.66,24,32.6,1,0,0
CUST_000380,35,South,Basic,29.11,5,38.94,1,0,0
CUST_000381,42,East,Basic,26.14,33,50.28,2,1,0
CUST_000382,58,North,Basic,24.98,18,36.75,1,0,0
CUST_000383,20,West,Standard,54.39,21,18.85,1,0,0
CUST_000384,25,Central,Standard,59.96,22,10.64,0,1,0
CUST_000385,20,South,Standard,64.14,7,25.47,0,0,0
CUST_000386,31,North,Standard,66.43,22,30.23,2,0,1
CUST_000387,47,East,Basic,27.47,31,50.32,0,0,1
CUST_000388,48,West,Basic,29.71,12,21.34,0,1,0
CUST_000389,45,East,Standard,59.38,11,15.71,1,0,0
CUST_000390,23,North,Standard,56.72,68,21.76,0,0,0
CUST_000391,18,East,Standard,63.58,10,41.34,0,1,0
CUST_000392,42,East,Basic,31.71,15,27.93,1,1,1
CUST_000393,35,South,Basic,30.61,51,26.68,0,0,0
CUST_000394,47,North,Premium,101.69,5,66.56,4,2,1
CUST_000395,50,Central,Basic,32.98,19,7.12,2,0,0
CUST_000396,43,South,Basic,32.93,30,46.12,2,0,0
CUST_000397,51,South,Standard,55.71,20,5.46,2,1,0
CUST_000398,44,North,Standard,64.38,4,49.09,1,0,0
CUST_000399,48,East,Premium,101.18,8,40.35,2,2,0
CUST_000400,32,East,Premium,97.73,4,38.25,1,1,0
CUST_000401,39,South,Standard,61.07,18,35.04,2,1,0
CUST_000402,44,East,Basic,31.62,27,44.79,2,2,1
CUST_000403,52,West,Standard,65.31,12,15.51,2,0,0
CUST_000404,36,South,Premium,94.67,16,52.43,0,1,0
CUST_000405,48,Central,Basic,36.52,16,44.3,0,0,0
CUST_000406,38,South,Premium,100.02,45,36.78,3,2,0
CUST_000407,39,South,Standard,57.37,24,23.53,2,0,0
CUST_000408,52,Central,Basic,27.22,22,10.63,3,0,0
CUST_000409,18,West,Standard,54.89,41,119.67,2,0,0
CUST_000410,24,South,Standard,51.2,6,33.14,1,0,0
CUST_000411,22,Central,Basic,33.29,24,10.0,0,1,1
CUST_000412,18,East,Basic,39.8,14,14.99,1,0,0
CUST_000413,32,South,Standard,51.81,49,24.34,0,0,0
CUST_000414,51,West,Basic,25.15,41,46.08,0,0,0
CUST_000415,37,West,Basic,33.66,14,15.0,1,0,0
CUST_000416,44,South,Standard,59.67,17,22.65,0,1,0
CUST_000417,55,East,Standard,64.07,10,46.77,0,0,0
CUST_000418,58,South,Standard,59.39,37,27.36,0,0,0
CUST_000419,40,North,Premium,97.0,32,40.7,1,1,0
CUST_000420,59,Central,Premium,98.77,18,15.89,0,0,0
CUST_000421,42,East,Standard,47.99,17,15.43,0,1,0
CUST_000422,30,East,Basic,24.18,15,14.2,1,0,0
CUST_000423,33,East,Standard,64.64,47,32.43,1,1,0
CUST_000424,22,East,Basic,35.86,19,29.4,0,1,1
CUST_000425,29,South,Premium,106.93,15,41.34,0,0,0
CUST_000426,36,Central,Standard,62.1,34,59.25,0,0,0
CUST_000427,51,West,Basic,18.62,2,17.16,1,0,1
CUST_000428,63,West,Standard,56.72,17,12.09,2,0,0
CUST_000429,23,East,Standard,66.52,38,49.61,0,0,0
CUST_000430,46,South,Premium,108.02,55,43.91,2,0,0
CUST_000431,27,North,Basic,36.71,12,39.39,1,0,1
CUST_000432,47,South,Premium,98.72,29,43.84,0,0,0
CUST_000433,39,South,Basic,23.37,12,19.81,1,0,0
CUST_000434,18,West,Standard,59.7,71,24.78,2,0,0
CUST_000435,53,Central,Premium,99.97,23,25.12,1,2,0
CUST_000436,33,South,Basic,37.73,31,55.26,1,0,0
CUST_000437,34,South,Basic,31.04,2,77.87,1,0,0
CUST_000438,27,West,Standard,59.98,14,43.33,2,0,1
CUST_000439,32,North,Premium,100.27,34,33.79,1,0,0
CUST_000440,47,Central,Basic,31.9,6,17.31,0,2,0
CUST_000441,39,South,Standard,63.03,23,41.0,0,0,0
CUST_000442,45,North,Standard,56.28,56,14.88,0,0,0
CUST_000443,46,South,Basic,24.61,36,37.97,2,0,0
CUST_000444,58,Central,Standard,66.75,30,22.18,0,1,0
CUST_000445,37,South,Basic,21.69,15,4.92,0,0,0
CUST_000446,22,West,Basic,38.09,8,60.34,0,0,0
